Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Position
1,Jaedon Ledee,36,36,1174,9,16,0.56,8.3,14.5,0.572,0.7,1.5,0.444,7.7,10.5,0.734,10.3,1.6,1.5,0.6,2.9,3,26.3,F
2,Reese Dixon-Waters,37,23,950,5.1,12.8,0.401,3.2,7.2,0.447,1.9,5.6,0.343,2.7,3,0.903,5.8,1.8,0.9,0.3,1.6,2.5,14.9,G
3,Lamont Butler,37,37,1017,5,12,0.421,3.8,7.8,0.485,1.3,4.2,0.302,2.2,3.8,0.594,3.7,4.4,2.2,0.4,2.2,3.3,13.6,G
4,Micah Parrish,37,36,1017,4.8,12.2,0.39,2.9,5.9,0.497,1.8,6.3,0.292,2.2,3,0.737,5.9,2.7,1.7,0.6,1.2,4.1,13.6,G
5,Elijah Saunders,37,21,749,4.4,10.6,0.419,2.3,4.1,0.571,2.1,6.5,0.322,1.3,1.3,0.96,7.2,1.5,0.9,0.6,1.5,3.5,12.2,F
6,Jay Pal,37,13,633,3.9,8.5,0.455,3.2,6.2,0.51,0.7,2.3,0.306,3.4,4.9,0.701,9.7,1.8,0.6,2.4,2.9,4.7,11.8,F
7,Miles Byrd,34,0,478,3.8,10.1,0.38,1.9,3.9,0.489,1.9,6.2,0.311,1.8,2.2,0.846,7.2,2.6,2.3,1.7,2.5,3.7,11.5,G
8,Cam Lawin,9,0,21,3.8,11.4,0.333,1.9,3.8,0.5,1.9,7.6,0.25,1.9,5.7,0.333,1.9,1.9,0,0,0,0,11.4,G
9,Darrion Trammell,35,18,972,3.7,9.7,0.383,2.1,4.7,0.443,1.6,4.9,0.325,2.2,2.7,0.818,3.6,4.7,1.8,0.2,2,2.2,11.2,G
10,Miles Heide,37,1,321,3.9,6.1,0.633,3.9,5.7,0.674,0,0.4,0,0.9,2.4,0.368,10.1,0.5,1.1,2.2,2.1,6.4,8.6,F
11,BJ Davis,12,0,67,1.8,9,0.2,1.2,2.4,0.5,0.6,6.6,0.091,4.2,5.4,0.778,3,0.6,1.2,0.6,2.4,7.8,8.4,G
12,Cade Alger,9,0,22,1.8,12.7,0.143,1.8,7.3,0.25,0,5.5,0,3.6,3.6,1,9.1,1.8,0,0,3.6,1.8,7.3,F
13,Demarshay Johnson,16,0,76,1.6,3.7,0.429,1.6,3.7,0.429,0,0,0,0,2.6,0,7.9,0.5,1.6,2.1,2.1,6.8,3.2,F
14,Desai Lopez,3,0,8,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,G
15,Ryan Schwarz,7,0,19,0,12.6,0,0,4.2,0,0,8.4,0,0,0,0,6.3,0,0,0,6.3,0,0,G
